Gene,Target_ChEMBL_ID,Target_Name,Molecule_ChEMBL_ID,Drug_Name,SMILES,pChEMBL,Assay_Type,Max_Phase,First_Approval,Source
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL573157,,COC(=O)N1CCC(n2ncc3c(N4CC5CCC(C4)O5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.96,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL573202,,COC(=O)N1CCC(n2ncc3c(N4C5CCC4COC5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.80,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL578645,,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,9.77,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL575976,,O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.72,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL577137,,CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.70,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL567172,,O=C(Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.70,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL538378,,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.70,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL574012,,CNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.66,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL568259,,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.66,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL574680,,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.64,IC50,,,ChEMBL_API
MTOR,CHEMBL2842,Serine/threonine-protein kinase mTOR,CHEMBL574905,,O=C(NCCF)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1,9.64,IC50,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640310,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)c(=O)[nH]n4C)NC(=O)NC1=O)C2,9.60,Ki,,,ChEMBL_API
TNF,CHEMBL1825,Tumor necrosis factor,CHEMBL3640308,,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cc(N)n(C)n4)cc3)NC(=O)NC1=O)C2,9.57,Ki,,,ChEMBL_API
