Gene,Symbol,Pathway,Phase_Relevance,Evidence_Source,Log2FC_Thompson,FDR_Thompson,Druggability,Description,Network_Hub_Score,V3_Score,V3_Rank
IL1B,IL1B,inflammasome,Acute,Thompson2009,2.15,1e-05,High,Proinflammatory cytokine,0.9092727272727272,0.9669,1
IL6,IL6,cytokine_signaling,Acute,Thompson2009,2.12,1e-05,High,Proinflammatory cytokine,1.0,0.955,2
TNF,TNF,cytokine_signaling,Acute,Thompson2009,2.35,1e-06,High,Master inflammatory cytokine,0.9332727272727273,0.9417,3
NLRP3,NLRP3,inflammasome,Acute,Thompson2009,1.45,0.0001,High,Inflammasome sensor,0.271090909090909,0.7132,4
MTOR,MTOR,autophagy,Both,Thompson2009,0.82,0.001,High,Autophagy master regulator - rapamycin target,0.7087272727272728,0.6955,5
IFNG,IFNg,cytokine_signaling,Acute,Blohmke2018,1.85,0.0001,High,Macrophage activator,0.0,0.677,6
LCN2,NGAL,iron_homeostasis,Acute,Thompson2009,2.45,1e-06,Moderate,Siderophore binding protein,0.0,0.67,7
HAMP,Hepcidin,iron_homeostasis,Both,Thompson2009,1.92,5e-05,Moderate,Iron regulator,0.0,0.5977,8
ULK1,ULK1,autophagy,Both,Literature,,,High,Autophagy initiation kinase,0.1363636363636363,0.5973,9
IL17A,IL17A,cytokine_signaling,Acute,Blohmke2018,0.95,0.003,High,Th17 cytokine,0.3167272727272727,0.5902,10
NOS2,iNOS,macrophage_polarization,Acute,Thompson2009,1.65,0.0002,Moderate,Nitric oxide synthase,0.0,0.5606,11
STAT1,STAT1,macrophage_polarization,Acute,Thompson2009,1.25,0.0005,Moderate,M1 transcription factor,0.29,0.5593,12
IL10,IL10,cytokine_signaling,Both,Thompson2009,1.02,0.001,Moderate,Anti-inflammatory cytokine,0.5783636363636364,0.5425,13
BECN1,BECN1,autophagy,Both,Literature,,,Moderate,Autophagy initiation complex,0.3512727272727272,0.5403,14
IKBKB,IKKb,nfkb_pathway,Acute,Literature,,,High,NFkB kinase,0.0,0.53,15
PRKAA1,AMPK,autophagy,Both,Thompson2009,0.65,0.005,High,Energy sensor kinase - metformin target,0.0,0.5249,16
LAMP1,LAMP1,phagosome_maturation,Both,Literature,,,Low,Lysosomal marker,0.7727272727272727,0.517,17
CASP1,CASP1,inflammasome,Acute,Thompson2009,0.92,0.002,Moderate,Inflammasome effector caspase,0.2832727272727272,0.5161,18
ATG5,ATG5,autophagy,Both,Literature,,,Moderate,Autophagosome formation,0.2098181818181818,0.512,19
ATG7,ATG7,autophagy,Both,Literature,,,Moderate,Autophagy conjugation system,0.1910909090909091,0.5082,20
CD86,CD86,macrophage_polarization,Acute,Thompson2009,0.85,0.004,Moderate,M1 costimulator,0.3365454545454545,0.506,21
GSDMD,GSDMD,inflammasome,Acute,Literature,,,Moderate,Pyroptosis executor,0.0909090909090909,0.4932,22
IL18,IL18,inflammasome,Acute,Thompson2009,0.78,0.008,Moderate,Inflammasome cytokine,0.2592727272727272,0.4859,23
SQSTM1,p62,autophagy,Both,Literature,,,Moderate,Selective autophagy receptor,0.0,0.47,24
ATP6V0D1,vATPase,phagosome_maturation,Both,Literature,,,Moderate,Vacuolar acidification,0.0,0.4625,25
RAB7A,RAB7,phagosome_maturation,Both,Literature,,,Moderate,Late endosome marker,0.0,0.4625,26
CTSD,CathD,phagosome_maturation,Both,Literature,,,Moderate,Lysosomal protease,0.0,0.4625,27
STAT6,STAT6,macrophage_polarization,Carrier,Literature,,,Moderate,M2 transcription factor,0.2165454545454545,0.4608,28
