Symbol,Degree_Centrality,Betweenness_Centrality,Network_Hub_Score
IL1B,0.9545454545454545,0.864,0.9092727272727272
IL6,1.0,1.0,1.0
TNF,0.9545454545454545,0.9119999999999999,0.9332727272727273
IFNg,0.0,0.0,0.0
NGAL,0.0,0.0,0.0
NLRP3,0.3181818181818182,0.22399999999999998,0.27109090909090905
Hepcidin,0.0,0.0,0.0
ULK1,0.27272727272727276,0.0,0.13636363636363638
iNOS,0.0,0.0,0.0
MTOR,0.5454545454545455,0.872,0.7087272727272728
IKKb,0.0,0.0,0.0
AMPK,0.0,0.0,0.0
IL17A,0.5454545454545455,0.088,0.31672727272727275
STAT1,0.5,0.07999999999999999,0.29
ATG7,0.3181818181818182,0.064,0.1910909090909091
p62,0.0,0.0,0.0
BECN1,0.45454545454545453,0.24799999999999997,0.35127272727272724
ATG5,0.36363636363636365,0.055999999999999994,0.20981818181818182
GSDMD,0.18181818181818182,0.0,0.09090909090909091
RAB7,0.0,0.0,0.0
vATPase,0.0,0.0,0.0
CathD,0.0,0.0,0.0
CASP1,0.45454545454545453,0.11199999999999999,0.28327272727272723
A20,0.0,0.0,0.0
Ferroportin,0.0,0.0,0.0
p65,0.0,0.0,0.0
IL10,0.7727272727272727,0.384,0.5783636363636364
CD86,0.40909090909090906,0.264,0.33654545454545454
p47phox,0.0,0.0,0.0
IL18,0.45454545454545453,0.064,0.25927272727272727
NFkB,0.0,0.0,0.0
ARG1,0.40909090909090906,0.016,0.21254545454545454
STAT6,0.40909090909090906,0.024,0.21654545454545454
gp91phox,0.0,0.0,0.0
TGFb,0.0,0.0,0.0
IL12p40,0.0,0.0,0.0
LC3B,0.0,0.0,0.0
TfR1,0.0,0.0,0.0
MnSOD,0.0,0.0,0.0
ASC,0.0,0.0,0.0
LAMP1,0.5454545454545455,1.0,0.7727272727272727
LAMP2,0.3181818181818182,0.072,0.1950909090909091
RAB5,0.0,0.0,0.0
NRAMP1,0.0,0.0,0.0
Ferritin,0.0,0.0,0.0
IkBa,0.0,0.0,0.0
CD163,0.3181818181818182,0.0,0.1590909090909091
Catalase,0.0,0.0,0.0
