Gene,Molecule_ChEMBL_ID,Drug_Name,pChEMBL,Max_Phase,Structural_Fit_Score,Combined_Discovery_Score
IL1B,CHEMBL5949264,,9.07,,0.83,7.527
TNF,CHEMBL3640301,,9.51,,0.783,7.445
TNF,CHEMBL3640307,,9.32,,0.786,7.322
IL1B,CHEMBL3989927,IBERDOMIDE,9.34,3.0,0.782,7.307
IL6,CHEMBL3647441,,8.96,,0.812,7.277
IL6,CHEMBL3647440,,8.4,,0.844,7.086
TNF,CHEMBL344625,,8.05,,0.841,6.771
IL6,CHEMBL3647445,,8.68,,0.767,6.655
TNF,CHEMBL1922174,GANODERIC ACID C2,8.08,,0.814,6.574
IL6,CHEMBL6057462,,7.98,,0.816,6.51
IL6,CHEMBL5813554,,7.68,,0.83,6.376
TNF,CHEMBL187092,,7.98,,0.798,6.366
IL6,CHEMBL5831527,,7.61,,0.836,6.359
IL6,CHEMBL5985963,,7.72,,0.823,6.352
IL6,CHEMBL5757665,,8.42,,0.752,6.329
IL6,CHEMBL5854612,,7.89,,0.797,6.285
IL6,CHEMBL5865451,,8.09,,0.772,6.246
IL6,CHEMBL3647447,,8.55,,0.727,6.216
IL6,CHEMBL5753489,,7.84,,0.785,6.155
IL6,CHEMBL6041191,,8.18,,0.748,6.115
IL6,CHEMBL5787912,,8.31,,0.729,6.055
IL6,CHEMBL5960544,,7.62,,0.788,6.003
TNF,CHEMBL3289609,,7.89,,0.753,5.939
IL6,CHEMBL5757312,,8.0,,0.729,5.832
IL6,CHEMBL131,PREDNISOLONE,8.38,4.0,0.69,5.78
IL6,CHEMBL5746816,,8.12,,0.705,5.726
TNF,CHEMBL602899,GANODERIC ACID A,8.07,,0.702,5.669
IL6,CHEMBL5993886,,8.42,,0.672,5.657
IL6,CHEMBL3647443,,8.96,,0.627,5.617
TNF,CHEMBL3640297,,9.46,,0.591,5.591
TNF,CHEMBL2205002,GANODERIC ACID D,7.73,,0.71,5.484
TNF,CHEMBL143134,,7.7,,0.712,5.48
TNF,CHEMBL318810,,8.05,,0.668,5.38
IL6,CHEMBL5907906,,7.32,,0.734,5.37
IL6,CHEMBL6062967,,7.85,,0.675,5.296
IL6,CHEMBL5772844,,7.53,,0.702,5.289
IL6,CHEMBL5992328,,8.23,,0.642,5.284
IL6,CHEMBL5788562,,7.62,,0.692,5.271
IL6,CHEMBL5972079,,7.85,,0.66,5.18
IL6,CHEMBL6046238,,7.36,,0.702,5.17
IL6,CHEMBL5747710,,7.55,,0.683,5.156
IL6,CHEMBL5935960,,7.97,,0.64,5.098
TNF,CHEMBL3640308,,9.57,,0.525,5.02
IL6,CHEMBL5790478,,8.24,,0.594,4.891
IL1B,CHEMBL5922366,,8.21,,0.594,4.88
TNF,CHEMBL3640310,,9.6,,0.504,4.836
TNF,CHEMBL336001,,7.44,,0.643,4.781
IL6,CHEMBL5778223,,8.12,,0.585,4.751
TNF,CHEMBL1915761,GANODERIOL F,7.78,,0.603,4.692
TNF,CHEMBL3640296,,9.51,,0.489,4.65
IL6,CHEMBL5936570,,7.75,,0.594,4.604
IL6,CHEMBL5861098,,7.4,,0.619,4.58
IL6,CHEMBL3647442,,8.89,,0.51,4.535
IL6,CHEMBL6049946,,7.6,,0.597,4.534
TNF,CHEMBL255489,,8.42,,0.537,4.523
IL6,CHEMBL3647444,,8.15,,0.549,4.473
TNF,CHEMBL3640306,,9.28,,0.481,4.462
TNF,CHEMBL1597561,,7.34,,0.606,4.446
IL6,CHEMBL6040007,,7.89,,0.562,4.436
IL1B,CHEMBL299288,,9.0,,0.492,4.431
IL6,CHEMBL5778189,,7.68,,0.566,4.349
TNF,CHEMBL453981,GANODERIC ACID F,8.57,,0.499,4.279
IL6,CHEMBL3647446,,8.37,,0.506,4.237
TNF,CHEMBL3640309,,9.38,,0.448,4.204
IL6,CHEMBL5863568,,8.02,,0.516,4.141
IL6,CHEMBL5769037,,7.85,,0.523,4.102
IL6,CHEMBL5849962,,7.82,,0.515,4.023
TNF,CHEMBL3640300,,9.46,,0.425,4.02
TNF,CHEMBL1713298,,7.61,,0.524,3.986
IL6,CHEMBL3358954,BI 653048,7.64,1.0,0.511,3.904
IL6,CHEMBL5986883,,7.55,,0.511,3.857
IL6,CHEMBL5801959,,7.92,,0.484,3.83
IL6,CHEMBL5948820,,8.12,,0.469,3.811
IL6,CHEMBL5817643,,7.51,,0.507,3.81
IL1B,CHEMBL5567461,,7.4,,0.508,3.76
TNF,CHEMBL1705002,,7.43,,0.5,3.714
IL6,CHEMBL5745822,,7.72,,0.476,3.678
TNF,CHEMBL344800,,7.96,,0.456,3.633
TNF,CHEMBL3640304,,9.41,,0.376,3.536
IL6,CHEMBL5842809,,7.82,,0.44,3.44
TNF,CHEMBL1922178,GANODERIC ACID H,8.61,,0.399,3.435
IL6,CHEMBL5845465,,7.77,,0.44,3.421
TNF,CHEMBL1732490,,7.43,,0.456,3.388
IL6,CHEMBL5949769,,7.76,,0.429,3.327
IL6,CHEMBL5947975,,7.79,,0.426,3.316
TNF,CHEMBL103667,DORAMAPIMOD,7.75,2.0,0.416,3.221
IL6,CHEMBL6040035,,7.54,,0.427,3.22
TNF,CHEMBL1087180,GANODERIC ACID B,8.05,,0.399,3.209
IL1B,CHEMBL293979,,9.0,,0.337,3.03
TNF,CHEMBL143373,,7.38,,0.41,3.027
IL6,CHEMBL5967615,,8.6,,0.341,2.937
TNF,CHEMBL3640305,,9.39,,0.312,2.926
IL6,CHEMBL5984906,,7.47,,0.389,2.909
TNF,CHEMBL143886,,7.8,,0.36,2.808
TNF,CHEMBL104991,,7.72,,0.351,2.71
IL6,CHEMBL6034855,,7.48,,0.34,2.54
IL6,CHEMBL5926850,,7.84,,0.314,2.458
IL6,CHEMBL5943152,,7.72,,0.306,2.363
IL1B,CHEMBL43452,POMALIDOMIDE,7.33,4.0,0.32,2.346
IL6,CHEMBL5757520,,7.58,,0.307,2.327
