Gene,Symbol,Pathway,Phase_Relevance,Evidence_Source,Log2FC_Thompson,FDR_Thompson,Druggability,Description,Network_Hub_Score,Cellular_Specificity_Score,V3_Score,V3_Rank,Genetic_Support_Score,Final_Mastery_Score,Causal_Evidence,Final_Rank,Pan_Enteric_Conservation_Score,Global_Impact_Score,Scope,Global_Rank
IL1B,IL1B,inflammasome,Acute,Thompson2009,2.15,1e-05,High,Proinflammatory cytokine,0.9092727272727272,0.95,0.9519,1,0.88,0.9447,Verified (GWAS),1,0.98,0.9518,Broad-Spectrum (Enteric),1
IL6,IL6,cytokine_signaling,Acute,Thompson2009,2.12,1e-05,High,Proinflammatory cytokine,1.0,0.9,0.92,2,0.82,0.91,Verified (GWAS),2,0.95,0.918,Broad-Spectrum (Enteric),2
TNF,TNF,cytokine_signaling,Acute,Thompson2009,2.35,1e-06,High,Master inflammatory cytokine,0.9332727272727273,0.88,0.9027,3,0.95,0.9074,Verified (GWAS),3,0.94,0.9139,Broad-Spectrum (Enteric),3
NLRP3,NLRP3,inflammasome,Acute,Thompson2009,1.45,0.0001,High,Inflammasome sensor,0.271090909090909,0.91,0.7322,5,0.75,0.734,Suggestive,4,0.9,0.7672,Broad-Spectrum (Enteric),4
MTOR,MTOR,autophagy,Both,Thompson2009,0.82,0.001,High,Autophagy master regulator - rapamycin target,0.7087272727272728,0.82,0.7549,4,0.3,0.7094,Transcriptomic-only,5,0.88,0.7435,Broad-Spectrum (Enteric),5
LAMP1,LAMP1,phagosome_maturation,Both,Literature,,,Low,Lysosomal marker,0.7727272727272727,0.92,0.6285,6,0.65,0.6306,Suggestive,6,0.85,0.6745,Broad-Spectrum (Enteric),6
IL10,IL10,cytokine_signaling,Both,Thompson2009,1.02,0.001,Moderate,Anti-inflammatory cytokine,0.5783636363636364,0.75,0.5869,8,0.3,0.5582,Transcriptomic-only,8,0.8,0.6066,Typhoid-Centric,7
LCN2,NGAL,iron_homeostasis,Acute,Thompson2009,2.45,1e-06,Moderate,Siderophore binding protein,0.0,0.5,0.58,9,0.3,0.552,Transcriptomic-only,9,0.82,0.6056,Broad-Spectrum (Enteric),8
ULK1,ULK1,autophagy,Both,Literature,,,High,Autophagy initiation kinase,0.1363636363636363,0.5,0.5873,7,0.3,0.5586,Transcriptomic-only,7,0.45,0.5369,Typhoid-Centric,9
CD86,CD86,macrophage_polarization,Acute,Thompson2009,0.85,0.004,Moderate,M1 costimulator,0.3365454545454545,0.85,0.5681,10,0.3,0.5413,Transcriptomic-only,10,0.45,0.523,Typhoid-Centric,10
IL17A,IL17A,cytokine_signaling,Acute,Blohmke2018,0.95,0.003,High,Th17 cytokine,0.3167272727272727,0.5,0.5513,11,0.3,0.5262,Transcriptomic-only,11,0.45,0.511,Typhoid-Centric,11
BECN1,BECN1,autophagy,Both,Literature,,,Moderate,Autophagy initiation complex,0.3512727272727272,0.5,0.5503,12,0.3,0.5253,Transcriptomic-only,12,0.45,0.5102,Typhoid-Centric,12
HAMP,Hepcidin,iron_homeostasis,Both,Thompson2009,1.92,5e-05,Moderate,Iron regulator,0.0,0.5,0.5452,13,0.3,0.5207,Transcriptomic-only,13,0.45,0.5066,Typhoid-Centric,13
STAT1,STAT1,macrophage_polarization,Acute,Thompson2009,1.25,0.0005,Moderate,M1 transcription factor,0.29,0.5,0.5305,14,0.3,0.5074,Transcriptomic-only,14,0.45,0.4959,Typhoid-Centric,14
PRKAA1,AMPK,autophagy,Both,Thompson2009,0.65,0.005,High,Energy sensor kinase - metformin target,0.0,0.5,0.5299,15,0.3,0.5069,Transcriptomic-only,15,0.45,0.4955,Typhoid-Centric,15
IFNG,IFNg,cytokine_signaling,Acute,Blohmke2018,1.85,0.0001,High,Macrophage activator,0.0,0.2,0.528,16,0.3,0.5052,Transcriptomic-only,16,0.45,0.4942,Typhoid-Centric,16
ATG5,ATG5,autophagy,Both,Literature,,,Moderate,Autophagosome formation,0.2098181818181818,0.5,0.522,17,0.3,0.4998,Transcriptomic-only,17,0.45,0.4898,Typhoid-Centric,17
